scene,exp,variant,op,encoder,psnr,ssim,lpips,score,n_images
HCM0181,exp011,unsharp_r2_p100+jpeg95_444,unsharp_r2_p100,jpeg95_444,18.0958,0.64401,0.1636,0.66348,60
HCM0181,exp011,unsharp_r2_p100+png,unsharp_r2_p100,png,18.0787,0.64338,0.16394,0.66303,60
HCM0181,exp011,bilateral_d5+jpeg75,bilateral_d5,jpeg75,20.3033,0.69402,0.17302,0.69127,60
HCM0181,exp011,bilateral_d5+jpeg90,bilateral_d5,jpeg90,20.3263,0.69753,0.18275,0.68861,60
HCM0181,exp011,bilateral_d5+jpeg95,bilateral_d5,jpeg95,20.3258,0.69808,0.18229,0.68895,60
HCM0181,exp011,bilateral_d5+jpeg98,bilateral_d5,jpeg98,20.3287,0.69846,0.18243,0.68903,60
HCM0181,exp011,bilateral_d5+jpeg95_444,bilateral_d5,jpeg95_444,20.3274,0.69812,0.18064,0.68963,60
HCM0181,exp011,bilateral_d5+png,bilateral_d5,png,20.3354,0.69903,0.18321,0.68894,60
HCM0181,exp011,nlmeans_h3+jpeg75,nlmeans_h3,jpeg75,20.2511,0.69184,0.1822,0.68656,60
HCM0181,exp011,nlmeans_h3+jpeg90,nlmeans_h3,jpeg90,20.2592,0.6945,0.18281,0.68717,60
HCM0181,exp011,nlmeans_h3+jpeg95,nlmeans_h3,jpeg95,20.2673,0.69552,0.18193,0.68789,60
HCM0181,exp011,nlmeans_h3+jpeg98,nlmeans_h3,jpeg98,20.2692,0.69584,0.18013,0.68872,60
HCM0181,exp011,nlmeans_h3+jpeg95_444,nlmeans_h3,jpeg95_444,20.2678,0.69544,0.17821,0.68936,60
HCM0181,exp011,nlmeans_h3+png,nlmeans_h3,png,20.2731,0.69614,0.17892,0.68932,60
HCM0193,exp011,identity+jpeg75,identity,jpeg75,21.9251,0.70779,0.1747,0.70689,60
HCM0193,exp011,identity+jpeg90,identity,jpeg90,21.9084,0.70691,0.17346,0.707,60
HCM0193,exp011,identity+jpeg95,identity,jpeg95,21.9219,0.70771,0.17539,0.70657,60
HCM0193,exp011,identity+jpeg98,identity,jpeg98,21.9246,0.70785,0.17577,0.70648,60
HCM0193,exp011,identity+jpeg95_444,identity,jpeg95_444,21.9215,0.70762,0.17413,0.70704,60
HCM0193,exp011,identity+png,identity,png,21.9254,0.70782,0.17463,0.70693,60
HCM0193,exp011,unsharp_r1_p50+jpeg75,unsharp_r1_p50,jpeg75,21.5379,0.70374,0.16947,0.70487,60
HCM0193,exp011,unsharp_r1_p50+jpeg90,unsharp_r1_p50,jpeg90,21.4487,0.70015,0.15342,0.70954,60
HCM0193,exp011,unsharp_r1_p50+jpeg95,unsharp_r1_p50,jpeg95,21.4606,0.70054,0.15204,0.7103,60
HCM0193,exp011,unsharp_r1_p50+jpeg98,unsharp_r1_p50,jpeg98,21.4595,0.70034,0.15063,0.7108,60
HCM0193,exp011,unsharp_r1_p50+jpeg95_444,unsharp_r1_p50,jpeg95_444,21.4582,0.70033,0.15043,0.71086,60
HCM0193,exp011,unsharp_r1_p50+png,unsharp_r1_p50,png,21.4593,0.70022,0.14971,0.71112,60
HCM0193,exp011,unsharp_r1_p100+jpeg75,unsharp_r1_p100,jpeg75,20.7259,0.67822,0.15269,0.69783,60
HCM0193,exp011,unsharp_r1_p100+jpeg90,unsharp_r1_p100,jpeg90,20.7746,0.68146,0.15224,0.69935,60
HCM0193,exp011,unsharp_r1_p100+jpeg95,unsharp_r1_p100,jpeg95,20.7821,0.6817,0.15044,0.7002,60
HCM0193,exp011,unsharp_r1_p100+jpeg98,unsharp_r1_p100,jpeg98,20.7755,0.68099,0.14939,0.70036,60
HCM0193,exp011,unsharp_r1_p100+jpeg95_444,unsharp_r1_p100,jpeg95_444,20.7772,0.68134,0.14876,0.70073,60
HCM0193,exp011,unsharp_r1_p100+png,unsharp_r1_p100,png,20.7717,0.68085,0.14867,0.70057,60
HCM0193,exp011,unsharp_r2_p50+jpeg75,unsharp_r2_p50,jpeg75,20.9472,0.6923,0.17702,0.69398,60
HCM0193,exp011,unsharp_r2_p50+jpeg90,unsharp_r2_p50,jpeg90,20.9078,0.69032,0.16679,0.69719,60
HCM0193,exp011,unsharp_r2_p50+jpeg95,unsharp_r2_p50,jpeg95,20.9293,0.69153,0.16889,0.69687,60
HCM0193,exp011,unsharp_r2_p50+jpeg98,unsharp_r2_p50,jpeg98,20.9259,0.69133,0.16764,0.69729,60
HCM0193,exp011,unsharp_r2_p50+jpeg95_444,unsharp_r2_p50,jpeg95_444,20.9241,0.69113,0.16743,0.6973,60
HCM0193,exp011,unsharp_r2_p50+png,unsharp_r2_p50,png,20.9224,0.69111,0.16687,0.6975,60
HCM0193,exp011,unsharp_r2_p100+jpeg75,unsharp_r2_p100,jpeg75,19.6129,0.65114,0.18879,0.66692,60
HCM0193,exp011,unsharp_r2_p100+jpeg90,unsharp_r2_p100,jpeg90,19.6124,0.65225,0.18694,0.66799,60
HCM0193,exp011,unsharp_r2_p100+jpeg95,unsharp_r2_p100,jpeg95,19.602,0.65196,0.18579,0.66829,60
HCM0193,exp011,unsharp_r2_p100+jpeg98,unsharp_r2_p100,jpeg98,19.5947,0.65139,0.18465,0.66852,60
HCM0193,exp011,unsharp_r2_p100+jpeg95_444,unsharp_r2_p100,jpeg95_444,19.5907,0.65121,0.18451,0.66849,60
HCM0193,exp011,unsharp_r2_p100+png,unsharp_r2_p100,png,19.5784,0.65078,0.18451,0.66827,60
HCM0193,exp011,bilateral_d5+jpeg75,bilateral_d5,jpeg75,21.9631,0.69883,0.20148,0.69378,60
HCM0193,exp011,bilateral_d5+jpeg90,bilateral_d5,jpeg90,21.9939,0.70249,0.21439,0.68995,60
HCM0193,exp011,bilateral_d5+jpeg95,bilateral_d5,jpeg95,21.9957,0.70312,0.21391,0.69034,60
HCM0193,exp011,bilateral_d5+jpeg98,bilateral_d5,jpeg98,21.9997,0.70359,0.21361,0.69063,60
HCM0193,exp011,bilateral_d5+jpeg95_444,bilateral_d5,jpeg95_444,21.9983,0.70324,0.21218,0.69109,60
HCM0193,exp011,bilateral_d5+png,bilateral_d5,png,22.0083,0.70415,0.21522,0.69022,60
HCM0193,exp011,nlmeans_h3+jpeg75,nlmeans_h3,jpeg75,21.8958,0.69517,0.21658,0.68614,60
HCM0193,exp011,nlmeans_h3+jpeg90,nlmeans_h3,jpeg90,21.9109,0.69808,0.21811,0.68651,60
HCM0193,exp011,nlmeans_h3+jpeg95,nlmeans_h3,jpeg95,21.9224,0.69924,0.21741,0.68723,60
HCM0193,exp011,nlmeans_h3+jpeg98,nlmeans_h3,jpeg98,21.9273,0.69955,0.21532,0.68819,60
HCM0193,exp011,nlmeans_h3+jpeg95_444,nlmeans_h3,jpeg95_444,21.9261,0.69903,0.21386,0.68861,60
HCM0193,exp011,nlmeans_h3+png,nlmeans_h3,png,21.9365,0.6997,0.21581,0.68811,60
HCM0204,exp011,identity+jpeg75,identity,jpeg75,20.457,0.69672,0.16195,0.69766,60
HCM0204,exp011,identity+jpeg90,identity,jpeg90,20.4439,0.69593,0.16044,0.69793,60
HCM0204,exp011,identity+jpeg95,identity,jpeg95,20.455,0.69662,0.16248,0.69741,60
HCM0204,exp011,identity+jpeg98,identity,jpeg98,20.4568,0.69674,0.16273,0.69736,60
HCM0204,exp011,identity+jpeg95_444,identity,jpeg95_444,20.4539,0.69653,0.16154,0.69775,60
HCM0204,exp011,identity+png,identity,png,20.4571,0.69673,0.16189,0.69769,60
HCM0204,exp011,unsharp_r1_p50+jpeg75,unsharp_r1_p50,jpeg75,20.0467,0.6907,0.15504,0.69554,60
HCM0204,exp011,unsharp_r1_p50+jpeg90,unsharp_r1_p50,jpeg90,19.9672,0.68684,0.14085,0.69947,60
HCM0204,exp011,unsharp_r1_p50+jpeg95,unsharp_r1_p50,jpeg95,19.9777,0.68727,0.13988,0.70006,60
HCM0204,exp011,unsharp_r1_p50+jpeg98,unsharp_r1_p50,jpeg98,19.9767,0.68713,0.13872,0.70047,60
HCM0204,exp011,unsharp_r1_p50+jpeg95_444,unsharp_r1_p50,jpeg95_444,19.9753,0.68709,0.13878,0.70043,60
HCM0204,exp011,unsharp_r1_p50+png,unsharp_r1_p50,png,19.9765,0.68709,0.13815,0.70069,60
HCM0204,exp011,unsharp_r1_p100+jpeg75,unsharp_r1_p100,jpeg75,19.2918,0.66532,0.14033,0.68815,60
HCM0204,exp011,unsharp_r1_p100+jpeg90,unsharp_r1_p100,jpeg90,19.3276,0.66782,0.14032,0.68917,60
HCM0204,exp011,unsharp_r1_p100+jpeg95,unsharp_r1_p100,jpeg95,19.3321,0.66804,0.13888,0.68985,60
HCM0204,exp011,unsharp_r1_p100+jpeg98,unsharp_r1_p100,jpeg98,19.3268,0.66753,0.13808,0.68998,60
HCM0204,exp011,unsharp_r1_p100+jpeg95_444,unsharp_r1_p100,jpeg95_444,19.328,0.66775,0.13773,0.69019,60
HCM0204,exp011,unsharp_r1_p100+png,unsharp_r1_p100,png,19.3237,0.66746,0.13767,0.6901,60
HCM0204,exp011,unsharp_r2_p50+jpeg75,unsharp_r2_p50,jpeg75,19.4599,0.67818,0.16289,0.68425,60
HCM0204,exp011,unsharp_r2_p50+jpeg90,unsharp_r2_p50,jpeg90,19.4269,0.67624,0.15453,0.68676,60
HCM0204,exp011,unsharp_r2_p50+jpeg95,unsharp_r2_p50,jpeg95,19.443,0.67725,0.15655,0.68638,60
HCM0204,exp011,unsharp_r2_p50+jpeg98,unsharp_r2_p50,jpeg98,19.4395,0.67706,0.15549,0.68672,60
HCM0204,exp011,unsharp_r2_p50+jpeg95_444,unsharp_r2_p50,jpeg95_444,19.4384,0.67692,0.15552,0.68666,60
HCM0204,exp011,unsharp_r2_p50+png,unsharp_r2_p50,png,19.4363,0.67694,0.15503,0.68684,60
HCM0204,exp011,unsharp_r2_p100+jpeg75,unsharp_r2_p100,jpeg75,18.2223,0.63748,0.17556,0.65769,60
