scene,file,psnr,ssim,lpips,score,gt_sharpness,gt_brightness,width,height
HCM0181,DJI_20241229103357_0039_V.JPG,20.224876897188267,0.6551843290987528,0.24488162994384766,0.6199519081352164,3679.9490158371827,116.73553405643901,1320,989
HCM0181,DJI_20241229103358_0040_V.JPG,21.396987746512437,0.6701492449949633,0.2431342750787735,0.6321729899460542,3326.443175252351,114.44439746300212,1320,989
HCM0181,DJI_20241229103359_0041_V.JPG,21.278083032720815,0.655905711385627,0.24968865513801575,0.6245647495568067,3315.42794537202,109.997662928578,1320,989
HCM0181,DJI_20241229103402_0044_V.JPG,20.943274365148884,0.6662786468820584,0.24074670672416687,0.6292445575658441,3000.5245126657774,109.88653828476882,1320,989
HCM0181,DJI_20241229103404_0046_V.JPG,20.466169445412817,0.6502335772382629,0.24474598467350006,0.6199686959745557,3383.390576359001,107.15535741642921,1320,989
HCM0181,DJI_20241229103407_0049_V.JPG,20.44173644435827,0.670696236015034,0.2421548217535019,0.626997360769259,3489.710216462745,113.77880549682875,1320,989
HCM0181,DJI_20241229103421_0063_V.JPG,20.146846973694082,0.6868464871876506,0.22407840192317963,0.6373036672291879,3819.51618004657,131.70523409014308,1320,989
HCM0181,DJI_20241229103426_0068_V.JPG,19.629487779579378,0.6693919062975172,0.23435698449611664,0.6248517047682849,3187.85766781286,115.9064190948923,1320,989
HCM0181,DJI_20241229103427_0069_V.JPG,19.82036354244302,0.6521864274685417,0.24024170637130737,0.6184814269466977,3638.562564653713,118.18629622820725,1320,989
HCM0181,DJI_20241229103440_0072_V.JPG,20.277359016968607,0.6902145869401458,0.25454428791999817,0.6269108150158561,3013.824163285641,118.44384287771548,1320,989
HCM0181,DJI_20241229103448_0080_V.JPG,19.875545558751103,0.6558448378475356,0.25949347019195557,0.612209336629985,2785.575339633724,129.99708612923982,1320,989
HCM0181,DJI_20241229103505_0097_V.JPG,20.385325671042448,0.6525164086613601,0.25751736760139465,0.6150599295841049,2989.809322533411,114.49132962588473,1320,989
HCM0181,DJI_20241229103545_0110_V.JPG,21.42503845648821,0.6532275955442156,0.25026455521583557,0.6244126873158597,3665.0859691242226,109.14396773600515,1320,989
HCM0181,DJI_20241229103553_0118_V.JPG,20.155859558571333,0.6898919625372913,0.22988972067832947,0.6359468578412837,3748.4744025951413,114.82976299905016,1320,989
HCM0181,DJI_20241229103600_0125_V.JPG,20.17655417453758,0.6980424742271606,0.23709115386009216,0.6356356057713368,3923.5035954135924,126.95123939087539,1320,989
HCM0181,DJI_20241229103601_0126_V.JPG,19.807704067856044,0.6767606074478602,0.2376585751771927,0.6268109765706171,3814.7751871656583,125.79254680270859,1320,989
HCM0181,DJI_20241229103607_0132_V.JPG,20.033425798077936,0.6406218409069281,0.22165560722351074,0.6237248641711418,3379.263963985766,129.90193645249258,1320,989
HCM0181,DJI_20241229103609_0134_V.JPG,20.013506620912157,0.6667052929843335,0.2344021201133728,0.6263317795754239,4005.9009097178077,132.418511198946,1320,989
HCM0181,DJI_20241229103610_0135_V.JPG,20.906551324202805,0.6898972049783199,0.23918819427490234,0.6367331917287519,3888.2371133829015,130.50243741765482,1320,989
HCM0181,DJI_20241229103757_0177_V.JPG,20.076264537619085,0.6707113259454078,0.240892231464386,0.6253140924235825,3035.175656163683,117.33814459049545,1320,989
HCM0181,DJI_20241229103808_0188_V.JPG,19.262449841572415,0.6752925476027446,0.2743372321128845,0.6084275704851041,3926.515610753721,119.67994454147134,1320,989
HCM0181,DJI_20241229103809_0189_V.JPG,18.19074370796479,0.6350715291686316,0.2862386107444763,0.5851704767005877,4441.00676708371,122.48055427888593,1320,989
HCM0181,DJI_20241229103818_0198_V.JPG,20.089343132999606,0.6754157081729494,0.2436787188053131,0.6256892837277572,3726.071587618653,121.25768299782456,1320,989
HCM0181,DJI_20241229103827_0207_V.JPG,19.596071318030734,0.6610834722166299,0.24434536695480347,0.618163322791252,3233.25651050404,119.10964779238287,1320,989
HCM0181,DJI_20241229103855_0215_V.JPG,20.304468188479618,0.6675593956905557,0.23784907162189484,0.6269549991892865,3645.5860999222073,116.96293164200141,1320,989
HCM0181,DJI_20241229103858_0218_V.JPG,20.18966651133674,0.6746791565484801,0.23645469546318054,0.6289598678472923,2921.9601517546257,118.03661182093943,1320,989
HCM0181,DJI_20241229103908_0228_V.JPG,20.11058011434541,0.6957040299073755,0.25247302651405334,0.6283854790526637,3624.1766433558787,117.27926586389681,1320,989
HCM0181,DJI_20241229103909_0229_V.JPG,19.679819758271183,0.6939221231995103,0.2652972638607025,0.6201366499651992,4274.202799618203,120.57237108190091,1320,989
HCM0181,DJI_20241229103910_0230_V.JPG,19.64642910965206,0.6845732343031351,0.25448232889175415,0.6214576133921513,4296.500824119278,121.84313815608053,1320,989
HCM0181,DJI_20241229103914_0234_V.JPG,19.66344908514248,0.6835482525753678,0.23504076898097992,0.6290288626910733,2926.4152063876486,128.26827067438796,1320,989
HCM0181,DJI_20241229103917_0237_V.JPG,20.485255927569987,0.6875828989637451,0.251339316368103,0.6286506787073022,3987.9624579932743,125.9885582314551,1320,989
HCM0181,DJI_20241229103923_0243_V.JPG,20.038413990346122,0.6744595574291842,0.2242717146873474,0.632859665295893,3292.2997952808196,120.19444189110519,1320,989
